date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20251104,10.92,10.97,10.8,10.87,38133.0,51.80471901429233,-0.01997966894240477,-0.03869968941531662,0.018720020472911846,10.7555,11.170151407176844,10.340848592823155,0.07710499877771268,0.6380677817779196,0.16999999999999993,0.31976514277376794,2.9417216446528793
20251105,10.87,10.92,10.74,10.84,40514.0,51.144769814432465,-0.012776476373284495,-0.03351504680691019,0.020738570433625696,10.7665,11.177674185141004,10.355325814858997,0.07638028795634677,0.5893781791952648,0.17999999999999972,0.30978191828992735,2.857766773892319
20251106,10.84,10.99,10.73,10.98,48580.69,54.08440136169952,0.004180742606777699,-0.025975888924172616,0.030156631530950315,10.79,11.193093302507455,10.386906697492543,0.07471608943604369,0.7356774459140102,0.2599999999999998,0.30622606698350396,2.788944143747759
20251107,10.96,11.16,10.82,10.86,57702.01,51.238523011901066,0.007846019669711879,-0.019211507205395717,0.027057526875107596,10.7985,11.199880512468562,10.39711948753144,0.07434004953809537,0.5766105952949271,0.33999999999999986,0.3086384907703965,2.8419750531344063
20251110,10.89,11.39,10.87,11.38,120092.63,60.851647667630694,0.05210974364016252,-0.00494725703628407,0.05705700067644659,10.837,11.304517520077052,10.369482479922947,0.0862817237384982,1.0807268997218629,0.5300000000000011,0.3244500271439397,2.8510547200697687
20251111,11.38,11.8,11.2,11.53,128900.21,63.11086882979677,0.09816126819091231,0.01567444800915521,0.0824868201817571,10.886,11.426580584576527,10.345419415423471,0.0993166607709954,1.0956558729393577,0.6000000000000014,0.34413216806222985,2.9846675460731125
20251112,11.59,11.68,11.35,11.5,67917.0,62.336051672459156,0.1307297131444507,0.038685501036214306,0.09204421210823639,10.911,11.516167223518506,10.305832776481493,0.11092791192713897,0.986642350337062,0.33000000000000007,0.3431227274863563,2.983675891185707
20251113,11.49,11.75,11.4,11.64,69762.21,64.524873861536,0.16592459493831235,0.06413331981663392,0.10179127512167843,10.955000000000002,11.637024849061154,10.27297515093885,0.1245138930280515,1.0021811162327456,0.34999999999999964,0.34361396123733084,2.952009976265729
20251114,11.55,11.76,11.52,11.54,61123.2,61.76381662307011,0.1836308459740934,0.08803282504812583,0.09559802092596757,11.0,11.712593484171904,10.287406515828096,0.12956245166761898,0.8788976548301772,0.2400000000000002,0.33621296400609296,2.913457227089194
20251117,11.74,11.98,11.56,11.74,81009.0,64.990448852822,0.2113650216178069,0.11269926436206205,0.09866575725574485,11.051499999999999,11.822344376402668,10.28065562359733,0.13950040743838743,0.946588196707779,0.4400000000000013,0.34362632371994356,2.9269703894373387
20251118,11.8,11.86,11.41,11.48,57566.0,58.123628499705816,0.2099446176735036,0.13214833502435036,0.07779628264915323,11.0805,11.870742467787437,10.290257532212564,0.1426366080569354,0.7527705206216906,0.4499999999999993,0.35122444345423326,3.0594463715525544
20251119,11.48,11.67,11.25,11.27,58297.82,53.231421308579634,0.18968709757271363,0.14365608753402304,0.04603101003869059,11.097,11.888669787620834,10.305330212379165,0.1426817676166234,0.6092627271528879,0.41999999999999993,0.3561369832075023,3.1600442165705624
20251120,11.36,11.43,11.13,11.25,38020.01,52.77582256406977,0.1700587032194143,0.1489366106711013,0.021122092548312987,11.1065,11.900855746899094,10.312144253100907,0.14304339745177924,0.5903247698277359,0.29999999999999893,0.35212719869268067,3.130019543934939
20251121,11.15,11.39,10.65,10.67,61588.83,41.64433775815779,0.10647453438740584,0.14044419541436223,-0.033969661026956394,11.0795,11.89545859028058,10.26354140971942,0.14729159082640556,0.24906814826277732,0.7400000000000002,0.3798323987860606,3.55981629602681
20251124,10.72,10.95,10.62,10.74,53122.0,43.20141561433009,0.06102853847187362,0.12456106402586452,-0.0635325255539909,11.078,11.896460686127856,10.259539313872143,0.14776325801188964,0.29351482256339056,0.33000000000000007,0.37627294172991343,3.5034724555857863
